,,200,2000,600
19/09:00:32,255.35,255.2980239,255.2864285,255.2773286
19/09:00:32,255.35,255.298541,255.286492,255.2775705
19/09:00:32,255.3,255.2985556,255.2865055,255.2776451
19/09:00:32,255.3,255.2985699,255.286519,255.2777195
19/09:00:32,255.3,255.2985842,255.2865325,255.2777937
19/09:00:32,255.3,255.2985983,255.286546,255.2778676
19/09:00:33,255.3,255.2986122,255.2865594,255.2779412
19/09:00:33,255.3,255.298626,255.2865729,255.2780146
19/09:00:33,255.3,255.2986397,255.2865863,255.2780878
19/09:00:33,255.3,255.2986532,255.2865997,255.2781607
19/09:00:33,255.3,255.2986666,255.2866131,255.2782334
19/09:00:33,255.35,255.2991774,255.2866764,255.2784722
19/09:00:33,255.3,255.2991856,255.2866897,255.2785438
19/09:00:34,255.3,255.2991937,255.2867031,255.2786152
19/09:00:34,255.3,255.2992017,255.2867163,255.2786864
19/09:00:35,255.3,255.2992097,255.2867296,255.2787573
19/09:00:35,255.3,255.2992175,255.2867429,255.278828
19/09:00:35,255.3,255.2992253,255.2867561,255.2788985
19/09:00:35,255.3,255.299233,255.2867694,255.2789687
19/09:00:35,255.3,255.2992406,255.2867826,255.2790387
19/09:00:35,255.3,255.2992482,255.2867958,255.2791084
19/09:00:35,255.3,255.2992557,255.286809,255.279178
19/09:00:35,255.3,255.2992631,255.2868222,255.2792473
19/09:00:35,255.3,255.2992704,255.2868354,255.2793163
19/09:00:36,255.3,255.2992777,255.2868485,255.2793851
19/09:00:36,255.3,255.2992849,255.2868617,255.2794538
